Unnamed: 0,Burundi1,DRC_E1,DRC_E2,DRC_E3,DRC_E4,DRC_S1,DRC_S2,DRC_S3,DRC_S4,DRC_S5,DRC_S6,DRC_S7,DRC_S8,DRC_S9,DRC_S10,DRC_W1,DRC_W2,DRC_W3,DRC_W4,DRC_W5,DRC_W6,DRC_W7,DRC_W8,Djibouti1,Egypt_CN1,Egypt_CN2,Egypt_UE1,Eritrea1,Ethiopia1,Ethiopia2,Ethiopia3,Ethiopia4,Ethiopia5,Ethiopia6,KEN_MTKR1,KEN_WSTR1,KEN_WSTR2,KEN_WSTR3,Libya1,Libya2,Rwanda1,SouthSudan1,Sudan1,Sudan2,Sudan3,TAN_CR1,TAN_CR2,TAN_LR1,TAN_NR1,TAN_SWR1,Uganda1,Uganda2,Uganda3
2030/11/17 16:00:00,0.391724754,0.147782645,0.284850434,0.160482328,0.118414256,0.223709343,0.288249349,0.272295144,0.264068622,0.213488413,0.192482776,0.228644608,0.202081482,0.172990731,0.274635484,0.225095144,0.314225775,0.230198497,0.247780309,0.324347489,0.288180066,0.279546572,0.250100141,0.370775556,0.212070476,0.233092545,0.265407871,0.219270324,0.319825643,0.360011408,0.309009375,0.322163125,0.312285142,0.344080857,0.458155998,0.53718564,0.519150749,0.55177276,0.386881667,0.358829991,0.331459753,0.332243799,0.287155162,0.318613777,0.254072822,0.459604444,0.570072632,0.499663211,0.500748084,0.552655869,0.532915551,0.518154233,0.509119552
2030/11/17 17:00:00,0.201782842,0.019784314,0.083706822,0.037790714,0.003326126,0.065125433,0.088186164,0.074790487,0.093444814,0.055885492,0.051639285,0.081271078,0.058745124,0.034966132,0.086649597,0.074959526,0.151965164,0.061168064,0.101108231,0.133706289,0.098316113,0.07624463,0.097208736,0.17794058,0.036344996,0.044547514,0.063845825,0.14966407,0.123207658,0.197004823,0.148604284,0.139499227,0.111797584,0.156232005,0.2996529,0.309631436,0.386103897,0.353389674,0.239233305,0.164202116,0.139376347,0.128776203,0.076069586,0.103752125,0.051672715,0.296577426,0.354735576,0.281781427,0.371693858,0.415815883,0.356956489,0.330861086,0.303813727
2030/11/17 18:00:00,0.052098302,0,0,0,0,0.008163495,1.56E-05,0.000249534,0.003543918,0.004248101,9.54E-06,0.009726225,0.000802287,2.60E-05,0.004104032,0,0.009338032,4.23E-05,0.000476272,0.004325251,0.017317696,4.95E-05,5.77E-05,0.032270628,0,0,6.88E-05,0.048377767,0.038998919,0.052340481,0.044623914,0.038508168,0.057233954,0.052995181,0.109870514,0.124733685,0.172059635,0.127650699,0.071610595,0.00659464,0.011658098,0.001498893,0,0.000245323,0,0.144604313,0.159414664,0.135484498,0.1620319,0.222369611,0.145928427,0.122487478,0.13134975
2030/11/17 19:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000118299,0,0,5.99E-05,0.01553053,0.01425937,0.022562282,0.022065566,0.000140385,0,0,0,0,0,0,0.013366116,0.020305063,0.017210265,0.026970434,0.053512769,0.035605294,0.011170462,0.026528379
2030/11/17 20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030/11/17 21:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030/11/17 22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030/11/17 23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030/11/18 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030/11/18 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030/11/18 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030/11/18 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030/11/18 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030/11/18 05:00:00,0,0.000485607,0,0.006924116,6.41E-05,0.020403114,9.52E-07,0.000112166,0.000139266,0.006421422,0.0072368,0.012838725,0.000866269,3.32E-05,0.004168952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030/11/18 06:00:00,0.016495979,0.050093033,0.026028272,0.084046778,0.059812375,0.151121107,0.033152675,0.040302778,0.052497255,0.088026485,0.061077509,0.090618873,0.042483578,0.009996791,0.079921371,0.000194218,0.000428094,0.02001301,0.000543839,0.000107986,0.000794257,0.004746913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000536086,0,0,0,0.000342947,0,0,0,0,0,0,0,0
2030/11/18 07:00:00,0.113616622,0.244092616,0.186968775,0.178951836,0.235989269,0.384140138,0.164439926,0.128860953,0.234636666,0.230991821,0.228192216,0.25094902,0.119502482,0.068310873,0.230950806,0.090305099,0.088128005,0.18571883,0.119360533,0.120057633,0.052565911,0.124019915,0.089423346,0.048,0.036924085,0.03577974,0.013452318,0.032420555,0.031689875,0.016719563,0.0581467,0.021803434,0.042216735,0.032526349,0.027260557,0.024175169,0.025530381,0.036119482,0,0,0.11062763,0.056529602,0.020487821,0.044697606,0.070704463,0.014861003,0.03631565,0.019087346,0.046053664,0.040650734,0.032605836,0.006919845,0.028102768
2030/11/18 08:00:00,0.257411081,0.414179391,0.374327017,0.287544352,0.40982283,0.600605536,0.357041745,0.419426016,0.358873591,0.427672639,0.355956078,0.423449265,0.335023467,0.221148307,0.309433065,0.288806839,0.287789117,0.22695819,0.356207302,0.315861085,0.197829069,0.228178756,0.321565342,0.17929372,0.217174003,0.227463886,0.194141391,0.158895756,0.214994875,0.168212292,0.234779106,0.189840389,0.236321887,0.190333984,0.137745842,0.16158248,0.156321179,0.19434338,0.00520266,0.072130033,0.295642101,0.267383994,0.218972289,0.259027764,0.28109641,0.166607306,0.21699518,0.158940504,0.227626333,0.211389271,0.153306422,0.123388019,0.158620558
2030/11/18 09:00:00,0.405010724,0.597340008,0.39946308,0.353891545,0.59536743,0.651626298,0.435970016,0.513818218,0.503206732,0.621149951,0.500733885,0.53339951,0.442757158,0.381041711,0.406509677,0.508964062,0.447753476,0.364331318,0.545445544,0.472795179,0.379062791,0.320303709,0.555422692,0.361082512,0.405526573,0.420627102,0.399524217,0.362527792,0.440153934,0.388590976,0.43862637,0.420493277,0.466823182,0.405520298,0.317011263,0.386365141,0.320409984,0.427675294,0.15331975,0.281206812,0.449068658,0.460733237,0.42533234,0.461977365,0.472973036,0.412419441,0.44294009,0.35780112,0.435252166,0.435554541,0.330231836,0.354642989,0.380497462
2030/11/18 10:00:00,0.412459339,0.706972048,0.380917286,0.455509702,0.707329667,0.712986159,0.478536849,0.545509531,0.604435712,0.695205842,0.594666148,0.705749265,0.524674773,0.460217825,0.467335887,0.608986792,0.580297556,0.427320735,0.679976729,0.581360632,0.484146297,0.410422392,0.691011591,0.52764686,0.539506133,0.558406149,0.548481931,0.546716552,0.654997886,0.572399949,0.60261492,0.607391797,0.65090793,0.605250005,0.504507337,0.561647247,0.518969845,0.591429522,0.354467656,0.460242519,0.527112673,0.608934342,0.574959615,0.608608916,0.608047754,0.612891609,0.595791825,0.579389184,0.646201281,0.592741857,0.393372419,0.4976729,0.490008953
2030/11/18 11:00:00,0.608391421,0.725844806,0.423918047,0.45454262,0.776881487,0.734823529,0.485503235,0.635389731,0.667985842,0.544088218,0.645940543,0.633179167,0.546233867,0.492007487,0.508427016,0.693064368,0.640912645,0.570936018,0.707230145,0.610972697,0.615434395,0.562481089,0.669100645,0.664435652,0.621352201,0.638586124,0.64312768,0.641500967,0.767700572,0.683818417,0.7259459,0.722452044,0.765755831,0.724464389,0.663248796,0.631171382,0.70302047,0.675458133,0.514425392,0.592230153,0.501221786,0.696728318,0.666541646,0.697668803,0.685238016,0.752409819,0.692031571,0.71714947,0.795980181,0.739193135,0.515931143,0.621736528,0.58294542
2030/11/18 12:00:00,0.535025022,0.714259908,0.338502387,0.43254158,0.685711221,0.683014706,0.346433515,0.569283945,0.623144034,0.557351899,0.647748625,0.48053652,0.528625934,0.461345455,0.471195161,0.651707303,0.693191023,0.541278712,0.649767794,0.587947731,0.725872206,0.571965855,0.582999498,0.744435652,0.642350789,0.666706393,0.67663671,0.701811584,0.829928593,0.748338458,0.776734193,0.783958473,0.811864502,0.791827822,0.702363138,0.732415093,0.75315807,0.747021351,0.609876604,0.654217095,0.510116834,0.728195138,0.698315885,0.725504491,0.700531754,0.822837139,0.791384861,0.753435399,0.852971211,0.808026146,0.652834402,0.760434038,0.722263951
2030/11/18 13:00:00,0.585639857,0.606503963,0.479245997,0.485254678,0.62511081,0.663630623,0.454133649,0.542851411,0.641786767,0.521597468,0.64117158,0.651031863,0.465193351,0.496849554,0.573829839,0.676336197,0.609118727,0.645041886,0.619106242,0.652058414,0.594053387,0.621903658,0.680042083,0.73564686,0.613380312,0.638801023,0.656737992,0.69696023,0.819938623,0.758596968,0.778182177,0.788769554,0.71271874,0.790144791,0.652650616,0.735116769,0.820199656,0.762945228,0.652327143,0.666818658,0.631842804,0.710206299,0.677311713,0.702959039,0.668114905,0.827731009,0.818195076,0.707456742,0.808209025,0.795337036,0.742080597,0.690848143,0.697804138
2030/11/18 14:00:00,0.591631814,0.514228202,0.387972718,0.370006237,0.483402995,0.404679931,0.354270953,0.340435708,0.504260907,0.42596222,0.541207387,0.466262255,0.366237728,0.359613191,0.413012097,0.565642631,0.586367194,0.513189091,0.559589601,0.576846729,0.541154352,0.474434668,0.498728708,0.699435652,0.527293045,0.555723416,0.580613752,0.656591558,0.764139795,0.703616682,0.714858645,0.739221034,0.652126476,0.703804108,0.623857456,0.646882616,0.696319067,0.714444805,0.639963729,0.623332939,0.454224883,0.639549005,0.600918499,0.626748988,0.582291111,0.74041741,0.769197972,0.6300036,0.789464648,0.759709068,0.659762271,0.642686213,0.668285231
2030/11/18 15:00:00,0.435840036,0.342991656,0.353200715,0.217163548,0.30324575,0.393469723,0.337686613,0.26214583,0.389737648,0.291088413,0.358026035,0.446304167,0.260047134,0.21223066,0.404035887,0.387665481,0.454884479,0.4800862,0.37025162,0.444782974,0.47244682,0.379970421,0.336158712,0.587165024,0.388887006,0.41723706,0.447511249,0.502612771,0.645946765,0.584615575,0.590317831,0.631520846,0.537966824,0.532171781,0.579142543,0.5756881,0.647404719,0.548570406,0.572297206,0.52332586,0.503636137,0.518162242,0.467551584,0.496824518,0.433916003,0.657913015,0.688560851,0.54074582,0.698811722,0.654392615,0.628645309,0.553149985,0.483834675
