costs,locs,techs,cost_investment_rhs
monetary,DRC_S,PV_DRC_S_MSR21,72143497.59014693
monetary,DRC_S,PV_DRC_S_MSR22,0.0
monetary,DRC_S,PV_DRC_S_MSR23,0.0
monetary,DRC_S,PV_DRC_S_MSR24,0.0
monetary,DRC_S,PV_DRC_S_MSR25,0.0
monetary,DRC_S,PV_DRC_S_MSR26,0.0
monetary,DRC_S,PV_DRC_S_MSR27,0.0
monetary,DRC_S,PV_DRC_S_MSR28,0.0
monetary,DRC_S,PV_DRC_S_MSR29,0.0
monetary,DRC_S,PV_DRC_S_MSR3,0.0
monetary,DRC_S,PV_DRC_S_MSR30,0.0
monetary,DRC_S,PV_DRC_S_MSR31,0.0
monetary,DRC_S,PV_DRC_S_MSR32,0.0
monetary,DRC_S,PV_DRC_S_MSR33,112952946.94817612
monetary,DRC_S,PV_DRC_S_MSR34,0.0
monetary,DRC_S,PV_DRC_S_MSR35,28208369.073451545
monetary,DRC_S,PV_DRC_S_MSR36,0.0
monetary,DRC_S,PV_DRC_S_MSR37,48691344.31958602
monetary,DRC_S,PV_DRC_S_MSR38,33461329.379862472
monetary,DRC_S,PV_DRC_S_MSR39,0.0
monetary,DRC_S,PV_DRC_S_MSR4,0.0
monetary,DRC_S,PV_DRC_S_MSR40,0.0
monetary,DRC_S,PV_DRC_S_MSR41,14126770.334124727
monetary,DRC_S,PV_DRC_S_MSR42,0.0
monetary,DRC_S,PV_DRC_S_MSR43,0.0
monetary,DRC_S,PV_DRC_S_MSR44,0.0
monetary,DRC_S,PV_DRC_S_MSR45,0.0
monetary,DRC_S,PV_DRC_S_MSR46,0.0
monetary,DRC_S,PV_DRC_S_MSR47,0.0
monetary,DRC_S,PV_DRC_S_MSR48,44883629.884786755
monetary,DRC_S,PV_DRC_S_MSR49,0.0
monetary,DRC_S,PV_DRC_S_MSR5,0.0
monetary,DRC_S,PV_DRC_S_MSR50,45572797.26179172
monetary,DRC_S,PV_DRC_S_MSR6,0.0
monetary,DRC_S,PV_DRC_S_MSR7,0.0
monetary,DRC_S,PV_DRC_S_MSR8,0.0
monetary,DRC_S,PV_DRC_S_MSR9,50698557.44419663
monetary,DRC_S,Solar_PV1,18310.027397260277
monetary,DRC_S,Solar_PV2,798983.0136986303
