BEN1,BFA1,BFA2,GMB1,GHA1,GHA2,GIN1,CIV1,MLI1,MLI2,MLI3,MLI4,MLI5,NER1,NER2,NER3,NER4,NER5,NER6,NER7,NGA_E1,NGA_E2,NGA_E3,NGA_E4,NGA_E5,NGA_CNW1,NGA_CNW2,NGA_CNW3,SEN1,SEN2,TGO1
0.8853742117520562,0.9843481931724146,0.98009704551274,0.8031916461917326,0.2562556449400239,0.0666159129920255,0.6518952380953,0.115,0.9716295427596028,0.9987136864377304,0.98965619651158,0.9976756101604178,0.9998460667594588,0.9863272990224912,0.9997341971651096,0.9999557058854364,0.992343622788594,0.998676954882853,0.992958018922076,1.0,0.9835465949003552,0.9582668957526236,0.9075335422944116,0.8352243396701037,0.97651937584894,0.9715119719676087,0.9869892460027928,0.9792674924946329,0.906975385592363,0.8775631317058418,0.8353792734480169
0.8807074344540454,0.9818148838454784,0.9696579777157084,0.8026822276815525,0.2237948959781578,0.0514313108178379,0.621514285714369,0.005,0.93847886294217,0.9980377623474384,0.9866118200155604,0.9951279761384724,0.9976959205897794,0.983802216267402,0.9998172144350612,0.9999579230625406,0.992820553378892,0.99821837785606,0.9902568458416404,0.999984318784205,0.980268608779005,0.9481540560521222,0.920492738196173,0.7941682619264675,0.9685822730867067,0.9729638718222876,0.985963233503817,0.9806310792180196,0.9018750902650756,0.8988062927775623,0.8345801281490376
0.8632811151711638,0.9553715626852692,0.8866688976380795,0.8157542997539415,0.156593897364013,0.0337919290209173,0.551119047619181,0.001,0.9118070252688812,0.9967513926644288,0.9758117772642668,0.9863925170575264,0.986713732177534,0.9805659411375216,0.9998274328471196,0.9999731618680467,0.9931648322812594,0.9970911483210788,0.9836574703271772,0.999984318784205,0.9578879124356842,0.8926105420622147,0.8464223031131265,0.6296511967829649,0.9190209669663136,0.9693308222734794,0.9827283499715932,0.9768653065446478,0.8994831953489655,0.9021279912195804,0.7695733617710984
0.8343574510489022,0.8216918987882983,0.8880581423609745,0.7310294840282121,0.0942892094298899,0.0073196908987958,0.4442476190477171,0.0,0.8430826188016235,0.9707661698581032,0.9075132897937046,0.9432922510298714,0.8512312364303953,0.975223516084253,0.9986535546667428,0.9998324982212702,0.9915192194543055,0.9932698556038296,0.9545564725974488,0.999492070276605,0.9646712339094632,0.8691956481152721,0.9171075818414168,0.6759286624242603,0.9134952278454304,0.9434030355698976,0.958284717149744,0.9637962892064252,0.8460847137544875,0.8759915982588684,0.8133037748734306
0.8288937935647257,0.944272155163859,0.9284175311826612,0.4660008189981765,0.1000228016617007,0.0163119633652899,0.2328999999999776,0.0,0.6969585424598234,0.9810669016608512,0.8491021516031245,0.8364478614987929,0.9034231778231162,0.9539257502209874,0.9995775278664214,0.9982060282570696,0.9948634135323428,0.9918774579284174,0.9349994094144592,0.9999338555570634,0.9488938634066068,0.7896286107531967,0.944910852774916,0.6424688028948737,0.8801793338272158,0.9757181684985672,0.987172063955965,0.9734801641344196,0.7918572134604405,0.8164572312084467,0.8036926637627578
0.7832572187226279,0.9108631617645012,0.8684074628670815,0.5007461097454182,0.1077748682361516,0.0320649685163019,0.4037476190473812,0.005,0.711649876090552,0.9811803494208108,0.8484924980496826,0.8553165919628996,0.9339888812207916,0.980301641847684,0.9999663377146244,0.9986106491244948,0.9985498045339934,0.9985796142993888,0.9599650375612684,1.0,0.9217244688223888,0.6866886259772773,0.9410636018242582,0.5807832357726994,0.8180354959454422,0.9712907111611676,0.9792253266781216,0.9608527198138668,0.8776347604368528,0.8397339844123309,0.7297653133402486
0.6191340856326432,0.8660575870928777,0.8205864681523654,0.4141900081894484,0.1327378085970345,0.0394788208345778,0.3281238095236346,0.017,0.7303665345192272,0.970220482800638,0.848374478201766,0.8456499027830107,0.931567110697412,0.9846659898067796,0.9998990687901824,0.9983297843312888,0.9971254283070092,0.9998306535754397,0.9592745423168691,0.999984318784205,0.8890433982136485,0.5944225440467346,0.9075431224850726,0.5417915757431341,0.7275470805074905,0.9503839273518122,0.9585326880936642,0.9380796984024496,0.8610244098542056,0.7740013866942324,0.6183956552282293
0.4264930302061816,0.8078822153449888,0.7523171120433296,0.3875405405407217,0.1342687933407577,0.047365769891312,0.1784761904760518,0.004,0.6505519314773007,0.9517927726612684,0.7971959075072736,0.772193700535262,0.9176175066568728,0.9791419314515768,0.9995592040071588,0.9971284266381694,0.9922243241321,0.9997865147913394,0.946467586679838,0.9997174938600492,0.8404749121820343,0.5277293466893762,0.8479946344024871,0.5156356068743975,0.6400990880394016,0.9156394954356568,0.928336660985594,0.9051685801238256,0.8097111690975581,0.6767277183287468,0.4499099002544636
0.2342665117850755,0.7496771763149064,0.7080148322049721,0.3030155610152935,0.1158956449362016,0.0957178019500211,0.0811952380951431,0.002,0.559883042904387,0.9387617254726948,0.713390358461851,0.7042561511446954,0.8089708079724627,0.97764854740323,0.9988034733456388,0.9957396145057448,0.9859631512235748,0.9995847173902512,0.9316988221995076,0.998531895409532,0.8152641488535006,0.5497619106020937,0.7997004580482464,0.5370402608198469,0.5938097865647276,0.8725315080222202,0.9057516638266122,0.8611594789856285,0.7285374987694311,0.5495048163537753,0.2940733618049193
0.14715068038673,0.7078029282328981,0.6463150840911243,0.2600376740375053,0.1061556726760821,0.1938577561602664,0.0992714285713294,0.003,0.484177490657224,0.8688233852858828,0.5876879614829419,0.7355901895149645,0.6828770425999068,0.975762138332129,0.9984672272637404,0.9945453137671976,0.97797816045778,0.999309523506272,0.9205937030064903,0.9972619955943914,0.8226235000244931,0.6176636856080336,0.771759174208398,0.5765704037651208,0.6060607880851951,0.8385835347566304,0.8828152950250139,0.8128557313789477,0.6134173871559017,0.4236360703865479,0.1881566951459874
