locs,techs,timesteps,resource_con
Rwanda,PV_Rwanda_MSR1,2040-01-05 20:00:00,0.0
Rwanda,PV_Rwanda_MSR1,2040-01-05 21:00:00,0.0
Rwanda,PV_Rwanda_MSR1,2040-01-05 22:00:00,0.0
Rwanda,PV_Rwanda_MSR1,2040-01-05 23:00:00,0.0
Rwanda,PV_Rwanda_MSR1,2040-01-06 00:00:00,0.0
Rwanda,PV_Rwanda_MSR1,2040-01-06 01:00:00,0.0
Rwanda,PV_Rwanda_MSR1,2040-01-06 02:00:00,0.0
Rwanda,PV_Rwanda_MSR1,2040-01-06 03:00:00,0.0
Rwanda,PV_Rwanda_MSR1,2040-01-06 04:00:00,0.0
Rwanda,PV_Rwanda_MSR1,2040-01-06 05:00:00,0.0
Rwanda,PV_Rwanda_MSR1,2040-01-06 06:00:00,0.0
Rwanda,PV_Rwanda_MSR1,2040-01-06 07:00:00,15957.927644387533
Rwanda,PV_Rwanda_MSR1,2040-01-06 08:00:00,84933.41230077804
Rwanda,PV_Rwanda_MSR1,2040-01-06 09:00:00,152474.60357860706
Rwanda,PV_Rwanda_MSR1,2040-01-06 10:00:00,213588.60535157955
Rwanda,PV_Rwanda_MSR1,2040-01-06 11:00:00,227502.2358401126
Rwanda,PV_Rwanda_MSR1,2040-01-06 12:00:00,233382.68703067183
Rwanda,PV_Rwanda_MSR1,2040-01-06 13:00:00,202766.65922401552
Rwanda,PV_Rwanda_MSR1,2040-01-06 14:00:00,191556.34431270635
Rwanda,PV_Rwanda_MSR1,2040-01-06 15:00:00,146425.35023573312
Rwanda,PV_Rwanda_MSR1,2040-01-06 16:00:00,110811.41724089031
Rwanda,PV_Rwanda_MSR1,2040-01-06 17:00:00,38978.92322032293
Rwanda,PV_Rwanda_MSR1,2040-01-06 18:00:00,10470.569138614228
Rwanda,PV_Rwanda_MSR1,2040-01-06 19:00:00,33.3978393257503
Rwanda,PV_Rwanda_MSR1,2040-01-06 20:00:00,0.0
Rwanda,PV_Rwanda_MSR1,2040-01-06 21:00:00,0.0
Rwanda,PV_Rwanda_MSR1,2040-01-06 22:00:00,0.0
Rwanda,PV_Rwanda_MSR1,2040-01-06 23:00:00,0.0
Rwanda,PV_Rwanda_MSR1,2040-01-07 00:00:00,0.0
Rwanda,PV_Rwanda_MSR1,2040-01-07 01:00:00,0.0
Rwanda,PV_Rwanda_MSR1,2040-01-07 02:00:00,0.0
Rwanda,PV_Rwanda_MSR1,2040-01-07 03:00:00,0.0
Rwanda,PV_Rwanda_MSR1,2040-01-07 04:00:00,0.0
Rwanda,PV_Rwanda_MSR1,2040-01-07 05:00:00,0.0
Rwanda,PV_Rwanda_MSR1,2040-01-07 06:00:00,0.0
Rwanda,PV_Rwanda_MSR1,2040-01-07 07:00:00,14493.25792758177
Rwanda,PV_Rwanda_MSR1,2040-01-07 08:00:00,88760.64448146004
Rwanda,PV_Rwanda_MSR1,2040-01-07 09:00:00,164737.98380137898
Rwanda,PV_Rwanda_MSR1,2040-01-07 10:00:00,214239.21101188043
Rwanda,PV_Rwanda_MSR1,2040-01-07 11:00:00,206458.72550544274
Rwanda,PV_Rwanda_MSR1,2040-01-07 12:00:00,191557.53724133153
Rwanda,PV_Rwanda_MSR1,2040-01-07 13:00:00,159703.56323308742
Rwanda,PV_Rwanda_MSR1,2040-01-07 14:00:00,136730.39006056674
Rwanda,PV_Rwanda_MSR1,2040-01-07 15:00:00,109611.48102000631
Rwanda,PV_Rwanda_MSR1,2040-01-07 16:00:00,66334.98874184563
Rwanda,PV_Rwanda_MSR1,2040-01-07 17:00:00,47472.34077994569
Rwanda,PV_Rwanda_MSR1,2040-01-07 18:00:00,7703.956452075877
Rwanda,PV_Rwanda_MSR1,2040-01-07 19:00:00,33.3978393257503
Rwanda,PV_Rwanda_MSR1,2040-01-07 20:00:00,0.0
Rwanda,PV_Rwanda_MSR1,2040-01-07 21:00:00,0.0
Rwanda,PV_Rwanda_MSR1,2040-01-07 22:00:00,0.0
Rwanda,PV_Rwanda_MSR1,2040-01-07 23:00:00,0.0
Rwanda,PV_Rwanda_MSR1,2040-01-08 00:00:00,0.0
Rwanda,PV_Rwanda_MSR1,2040-01-08 01:00:00,0.0
Rwanda,PV_Rwanda_MSR1,2040-01-08 02:00:00,0.0
Rwanda,PV_Rwanda_MSR1,2040-01-08 03:00:00,0.0
Rwanda,PV_Rwanda_MSR1,2040-01-08 04:00:00,0.0
Rwanda,PV_Rwanda_MSR1,2040-01-08 05:00:00,0.0
Rwanda,PV_Rwanda_MSR1,2040-01-08 06:00:00,0.0
Rwanda,PV_Rwanda_MSR1,2040-01-08 07:00:00,9979.016500554702
Rwanda,PV_Rwanda_MSR1,2040-01-08 08:00:00,58300.48924200809
Rwanda,PV_Rwanda_MSR1,2040-01-08 09:00:00,134336.24319462516
Rwanda,PV_Rwanda_MSR1,2040-01-08 10:00:00,191353.428804678
Rwanda,PV_Rwanda_MSR1,2040-01-08 11:00:00,229944.20545345068
Rwanda,PV_Rwanda_MSR1,2040-01-08 12:00:00,229219.82259259457
Rwanda,PV_Rwanda_MSR1,2040-01-08 13:00:00,201888.86911298407
Rwanda,PV_Rwanda_MSR1,2040-01-08 14:00:00,190869.0488735654
Rwanda,PV_Rwanda_MSR1,2040-01-08 15:00:00,158555.93459334123
Rwanda,PV_Rwanda_MSR1,2040-01-08 16:00:00,96927.01763145451
Rwanda,PV_Rwanda_MSR1,2040-01-08 17:00:00,47903.71347109019
Rwanda,PV_Rwanda_MSR1,2040-01-08 18:00:00,12881.892044071512
Rwanda,PV_Rwanda_MSR1,2040-01-08 19:00:00,33.3978393257503
Rwanda,PV_Rwanda_MSR1,2040-01-08 20:00:00,0.0
Rwanda,PV_Rwanda_MSR1,2040-01-08 21:00:00,0.0
Rwanda,PV_Rwanda_MSR1,2040-01-08 22:00:00,0.0
Rwanda,PV_Rwanda_MSR1,2040-01-08 23:00:00,0.0
Rwanda,PV_Rwanda_MSR1,2040-01-09 00:00:00,0.0
Rwanda,PV_Rwanda_MSR1,2040-01-09 01:00:00,0.0
Rwanda,PV_Rwanda_MSR1,2040-01-09 02:00:00,0.0
Rwanda,PV_Rwanda_MSR1,2040-01-09 03:00:00,0.0
Rwanda,PV_Rwanda_MSR1,2040-01-09 04:00:00,0.0
Rwanda,PV_Rwanda_MSR1,2040-01-09 05:00:00,0.0
Rwanda,PV_Rwanda_MSR1,2040-01-09 06:00:00,0.0
Rwanda,PV_Rwanda_MSR1,2040-01-09 07:00:00,12586.671447789755
Rwanda,PV_Rwanda_MSR1,2040-01-09 08:00:00,64400.26868466176
Rwanda,PV_Rwanda_MSR1,2040-01-09 09:00:00,103153.2633315351
