DRC_S1,DRC_S2,DRC_S3,DRC_S4,DRC_S5,Burundi1,DRC_E1,DRC_E2,DRC_E3,DRC_E4,DRC_S6,DRC_S7,DRC_S8,DRC_S9,DRC_S10,DRC_W1,DRC_W2,DRC_W3,DRC_W4,DRC_W5,DRC_W6,DRC_W7,DRC_W8,Djibouti1,Egypt_CN1,Egypt_CN2,Egypt_UE1,Eritrea1,Ethiopia1,Ethiopia2,Ethiopia3,Ethiopia4,Ethiopia5,Ethiopia6,KEN_MTKR1,KEN_WSTR1,KEN_WSTR2,KEN_WSTR3,Libya1,Libya2,Rwanda1,SouthSudan1,Sudan1,Sudan2,Sudan3,TAN_CR1,TAN_CR2,TAN_LR1,TAN_NR1,TAN_SWR1,Uganda1,Uganda2,Uganda3
0.2178776036764761,0.3935691547363821,0.2441940357277217,0.2612409399952249,0.3908162100421277,0.3860616622003836,0.6829411764703633,0.3207292144342674,0.4192273042293857,0.6918099153635862,0.1850754885726161,0.2955536764711927,0.3185871734423209,0.2698844919804047,0.1564451612901525,0.5447391230885996,0.4757262238974946,0.3684367584429173,0.3693418778014292,0.5807434999934309,0.3361959254131522,0.5394114480615744,0.6007197401193128,0.5582013517325948,0.3947202003110963,0.5050014279085154,0.4586005745833988,0.5297078863462021,0.5837377064060851,0.5019830392877015,0.6210851209070591,0.5377905135662939,0.5960525160685264,0.5549429610462069,0.6067357271828149,0.5510531450127064,0.4272126928703729,0.553916744532055,0.2684818802849439,0.3373964921401298,0.4787327199597412,0.5652021062994056,0.5249621697645287,0.5602089381607784,0.5281588569533189,0.1956138800274737,0.4374719716828701,0.35229000591104,0.4894901236007058,0.3147390071441369,0.4528677315183082,0.4930434070986341,0.5075209372815158
0.2687054691312855,0.455620657826762,0.2392601156064075,0.2789445727986892,0.462678462706782,0.4185290437922628,0.703493950771684,0.3017818540666815,0.511073804575012,0.6106010200226692,0.221271381252176,0.3795705882365997,0.4087859399278404,0.3541080213886641,0.1399129032249922,0.6318146691846819,0.557016985895607,0.3525887122653542,0.4713634433852927,0.6488221780756978,0.5095884595327064,0.5865147009188628,0.6264087778217501,0.6904950718112434,0.4488042488880054,0.6152663861764414,0.5783400837405632,0.6664706035021486,0.7237438659860709,0.6442144942059396,0.7497658894051955,0.6753502142529981,0.7341542974069935,0.6861089807543389,0.7507044476245739,0.7141203688176843,0.5648843619766172,0.7326252785060257,0.4496139042337467,0.4810935634898452,0.426103333490367,0.6730822837979449,0.6430738077081947,0.6728979898934746,0.6295801502592454,0.3257635397228536,0.5056773170297493,0.433556774546821,0.56878037673771,0.4557673211921525,0.5817756320045898,0.6323163885653409,0.6761009408202748
0.322178914461261,0.5394535475024079,0.2516678928006377,0.3636519682261492,0.4979206620985928,0.4878060768573806,0.7347617855647428,0.2753425497122664,0.5498399168416959,0.6498197612134797,0.2836787678037437,0.4169237745117803,0.5752082936366688,0.3634645276305532,0.1752229838703526,0.6457848062280483,0.6386876671593356,0.3296737978527954,0.5628698553593886,0.7220804702872483,0.5286046967433234,0.539865710886244,0.627712755152655,0.7513069557876488,0.4985956927553268,0.6638594299808277,0.6357582930103699,0.7441699907858401,0.8030036964898789,0.7259521100676842,0.8156115008795161,0.7530185265261342,0.812028898276635,0.7584229678895149,0.8037909610327203,0.7505200471248882,0.5889536828463259,0.7240784060461399,0.5679082828600953,0.5562084056628916,0.5523143464794882,0.7212248947233209,0.6998635390986302,0.7191120851854981,0.6744780539781812,0.3625174943549715,0.5774380605810513,0.4760511223708122,0.6478955839393217,0.456170814900465,0.7081244680245524,0.6962384310783867,0.6650644494786889
0.2685976307980883,0.5227081180315761,0.2861082501290682,0.4209995599270986,0.5448590182644234,0.4681921358373143,0.6560513141420806,0.3423070549589858,0.5222221067234206,0.6023994235715735,0.2363410732026859,0.4776843137285863,0.6087920072188197,0.286239928702909,0.2351842741939636,0.5970229987261383,0.5952919663771881,0.4120977751288378,0.3409968974287773,0.6696447101431969,0.5749225360971084,0.5494523441539494,0.5335875615641943,0.7713300478741623,0.4745682009743373,0.6536504302489443,0.641978378862977,0.7675967682486644,0.8236885394998196,0.753411035796696,0.8232747383063856,0.7728976293811448,0.8331348792504045,0.7787346793394955,0.8124380292955434,0.7877703212609076,0.5721318842199792,0.7447926931376245,0.6315075833395207,0.6019718562118196,0.4808175135229873,0.7173106011057329,0.6962402669250625,0.7117643527760136,0.6545425161830967,0.4212496154594837,0.6791470860407756,0.5653231534429548,0.6352790905350251,0.5653006569794715,0.6778607481979559,0.6488758175331935,0.682451225893442
0.2545941843402629,0.4218608691358707,0.2618219915944759,0.3923260061176193,0.4035951293759993,0.4914146559406794,0.6042136003335304,0.3097016465875301,0.4389819819814581,0.5565184752183071,0.2342926796949775,0.3333779411802161,0.4685877250167194,0.2457005347606868,0.1905540322571925,0.5223184926519671,0.5946475322682881,0.3938126192957226,0.500790694468728,0.5573027704216967,0.4686730980204604,0.4821493364610269,0.5580745395865343,0.7282475359056217,0.3910833268751972,0.5846625428381937,0.5977114153740406,0.7343728883937681,0.727618510292508,0.7215801119020333,0.7881891108127154,0.7405545000735008,0.7866147639046724,0.741229684002746,0.7395492471552791,0.7559994595647996,0.6324261741183842,0.575388302357653,0.6361387926884542,0.5885211287751685,0.5353690415645153,0.6615993085245097,0.6344223512672374,0.6523945419732053,0.5855636928026966,0.4160756404129686,0.6222881503251443,0.4285535078070421,0.5892781169894233,0.5628869300579397,0.5680776039193133,0.6122536759379273,0.4993353405219232
0.2285829033126472,0.397439715726818,0.2625049921163142,0.402215415759896,0.3013574961934584,0.5124191242158411,0.4558581560281834,0.2888329408326223,0.3148142758161297,0.4044741936739049,0.1956386551834322,0.2441232843150469,0.3700432231888804,0.2499550802164172,0.1625370967727621,0.4398366596560695,0.4632098609563204,0.2887292134280311,0.4164629614837266,0.5338748039021415,0.3417372197164501,0.4458873314512862,0.4957743035191795,0.6279769079134866,0.2806567281990306,0.457307528686209,0.4790204474135026,0.6152147819653007,0.6067458478363708,0.6254314193291889,0.6841617438244029,0.6377606932783151,0.6461624326525687,0.6220383042857847,0.5804988781760715,0.6374434921436322,0.6420159364788555,0.5755117713529179,0.5841545351297897,0.5296550354127425,0.445491099913896,0.5522874653475085,0.5129350466984319,0.5346721437876095,0.452267074835247,0.4665540981003923,0.5538788024737528,0.5421219016893928,0.5014631897846948,0.496842342875216,0.5624518427889413,0.6643799531931109,0.5606254099103118
0.1946789521276057,0.2825206734840131,0.1496862848116068,0.2988474486771833,0.2254396879750511,0.4004906166190913,0.2502298706714644,0.2867103672597881,0.1936178101186235,0.2305436939035886,0.1842820470351151,0.2028019607848143,0.2298763977355795,0.1928798573996777,0.1135052419352301,0.2485129753754267,0.3733347342889522,0.2808166353613818,0.2606904143263853,0.2968070879619103,0.2251893262392439,0.3306096395395402,0.3069486133268013,0.4727062799213514,0.1278478328794322,0.2764126090787114,0.3034118289244011,0.4609763146337409,0.4744710516150252,0.4735197739680054,0.5316394755104917,0.4777693856548077,0.539992801214574,0.4971385825383848,0.4539780813341028,0.4903184747051759,0.4626339959457733,0.4431897411120877,0.4733460485614806,0.3909695273078387,0.2976297563474055,0.389215669860132,0.3349211724626748,0.3611570465417046,0.2740324299924142,0.4572069446416158,0.3667050853457247,0.4840380814921557,0.2726827261003876,0.4045897866601901,0.4031246223400271,0.5440674813993465,0.3997515546099004
0.072175072508075,0.1355241843090268,0.0706367577504585,0.1636266640268696,0.1270123668196526,0.2283726541529691,0.0653913224864825,0.1840909759263874,0.0757834372836539,0.0409885408476871,0.05900476979134,0.1300156862753541,0.071740309883715,0.0899664884151731,0.0782383064520607,0.074138580263913,0.1952363739057464,0.1588260723500931,0.1541045729336986,0.0758990494443606,0.1421958894488756,0.1511372204160476,0.0807521115530336,0.269894395944946,0.0350380165078763,0.0745119535747876,0.0972986849065963,0.2703389981575913,0.2880984701557698,0.2872239993995325,0.3231935785419308,0.271369998357894,0.3042835413903621,0.2965085981332358,0.3488645341461153,0.3129680012549427,0.339983303300062,0.2710342245854366,0.3093081091392621,0.2024255030978538,0.1440072125393714,0.1846787592782837,0.1195620287615357,0.1492915338761333,0.0837316561354252,0.3702644152956716,0.3012953462316145,0.272421026030033,0.3073988278755297,0.2973189987923048,0.2750941688520266,0.379045161244996,0.2107874811799003
0.0048190138989125,0.0080810896193535,0.0110800052550527,0.0163170066231345,0.0200098934552358,0.0911090259152213,0.0004843554443189,0.0070498040688719,0.0063794178793103,0.0,0.0061078502815959,0.0210406862746259,0.0046806398235713,0.0016153297682967,0.0169899193548274,0.0165140206035606,0.0216083359635864,0.0073044573730977,0.0232796050484266,0.0280007495729775,0.0557959829534963,0.0015625433032884,0.0180249176087628,0.0670825119685405,0.0,0.0,0.0,0.0772928645596222,0.1025949544425127,0.0922121267565752,0.1045191659234112,0.0847023462529225,0.1162225064150405,0.1124974973840425,0.193194335684416,0.1823398814511541,0.1743727897285652,0.1433305007287937,0.11311977935411,0.021442836692354,0.0282180868281641,0.0146009340325132,0.0001898231697388,0.0033450916541406,0.0001952291582231,0.2103659111044397,0.158039918204597,0.1575845743036674,0.1534749054124534,0.1793213465118034,0.1617973433258929,0.2251427074344912,0.1598054524211652
0.0,0.0,0.0,0.0,0.0,0.0141456657730084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001870066351483,0.0,0.0,0.0,0.0,0.0,0.0,0.0086497711457331,0.0131161054841089,0.0075175003054024,0.0065028886155534,0.0064708327942505,0.0168069281607134,0.0175511422789995,0.0306181457705508,0.0289688369716064,0.0406513683972622,0.0370169941622699,0.0014315978055611,0.0,9.709186741470802e-05,0.0,0.0,0.0,0.0,0.0464475427585522,0.0329258547847063,0.0360975954354338,0.0448564944210449,0.0769081126940594,0.0477355188127644,0.0392038033890852,0.0396247775215927
