locs,techs,timesteps,required_resource
DRC_S,final_demand,2040-01-07 09:00:00,-1898616.252
DRC_S,final_demand,2040-01-07 10:00:00,-1891531.863
DRC_S,final_demand,2040-01-07 11:00:00,-1893893.326
DRC_S,final_demand,2040-01-07 12:00:00,-1903339.178
DRC_S,final_demand,2040-01-07 13:00:00,-1943484.049
DRC_S,final_demand,2040-01-07 14:00:00,-1974183.068
DRC_S,final_demand,2040-01-07 15:00:00,-2011966.476
DRC_S,final_demand,2040-01-07 16:00:00,-1969460.142
DRC_S,final_demand,2040-01-07 17:00:00,-1971821.605
DRC_S,final_demand,2040-01-07 18:00:00,-2156015.719
DRC_S,final_demand,2040-01-07 19:00:00,-2163100.108
DRC_S,final_demand,2040-01-07 20:00:00,-2125316.7
DRC_S,final_demand,2040-01-07 21:00:00,-2056834.273
DRC_S,final_demand,2040-01-07 22:00:00,-1945845.512
DRC_S,final_demand,2040-01-07 23:00:00,-1860832.844
DRC_S,final_demand,2040-01-08 00:00:00,-1723867.99
DRC_S,final_demand,2040-01-08 01:00:00,-1702614.823
DRC_S,final_demand,2040-01-08 02:00:00,-1688446.045
DRC_S,final_demand,2040-01-08 03:00:00,-1690807.508
DRC_S,final_demand,2040-01-08 04:00:00,-1733313.842
DRC_S,final_demand,2040-01-08 05:00:00,-1785266.028
DRC_S,final_demand,2040-01-08 06:00:00,-1714422.138
DRC_S,final_demand,2040-01-08 07:00:00,-1801796.269
DRC_S,final_demand,2040-01-08 08:00:00,-1886808.937
DRC_S,final_demand,2040-01-08 09:00:00,-1952929.901
DRC_S,final_demand,2040-01-08 10:00:00,-1974183.068
DRC_S,final_demand,2040-01-08 11:00:00,-1995436.235
DRC_S,final_demand,2040-01-08 12:00:00,-1990713.309
DRC_S,final_demand,2040-01-08 13:00:00,-2037942.569
DRC_S,final_demand,2040-01-08 14:00:00,-2078087.44
DRC_S,final_demand,2040-01-08 15:00:00,-2118232.311
DRC_S,final_demand,2040-01-08 16:00:00,-2078087.44
DRC_S,final_demand,2040-01-08 17:00:00,-2068641.588
DRC_S,final_demand,2040-01-08 18:00:00,-2248112.776
DRC_S,final_demand,2040-01-08 19:00:00,-2245751.313
DRC_S,final_demand,2040-01-08 20:00:00,-2200883.516
DRC_S,final_demand,2040-01-08 21:00:00,-2122955.237
DRC_S,final_demand,2040-01-08 22:00:00,-2007243.55
DRC_S,final_demand,2040-01-08 23:00:00,-1917507.956
DRC_S,final_demand,2040-01-09 00:00:00,-1882086.011
DRC_S,final_demand,2040-01-09 01:00:00,-1834856.751
DRC_S,final_demand,2040-01-09 02:00:00,-1797073.343
DRC_S,final_demand,2040-01-09 03:00:00,-1773458.713
DRC_S,final_demand,2040-01-09 04:00:00,-1804157.732
DRC_S,final_demand,2040-01-09 05:00:00,-1806519.195
DRC_S,final_demand,2040-01-09 06:00:00,-1730952.379
DRC_S,final_demand,2040-01-09 07:00:00,-1794711.88
DRC_S,final_demand,2040-01-09 08:00:00,-1825410.899
DRC_S,final_demand,2040-01-09 09:00:00,-1851386.992
DRC_S,final_demand,2040-01-09 10:00:00,-1886808.937
DRC_S,final_demand,2040-01-09 11:00:00,-1917507.956
DRC_S,final_demand,2040-01-09 12:00:00,-1981267.457
DRC_S,final_demand,2040-01-09 13:00:00,-2002520.624
DRC_S,final_demand,2040-01-09 14:00:00,-2021412.328
DRC_S,final_demand,2040-01-09 15:00:00,-2042665.495
DRC_S,final_demand,2040-01-09 16:00:00,-2019050.865
DRC_S,final_demand,2040-01-09 17:00:00,-2073364.514
DRC_S,final_demand,2040-01-09 18:00:00,-2300064.962
DRC_S,final_demand,2040-01-09 19:00:00,-2321318.129
DRC_S,final_demand,2040-01-09 20:00:00,-2283534.721
DRC_S,final_demand,2040-01-09 21:00:00,-2207967.905
DRC_S,final_demand,2040-01-09 22:00:00,-2092256.218
DRC_S,final_demand,2040-01-09 23:00:00,-1990713.309
DRC_S,final_demand,2040-01-10 00:00:00,-1896254.789
DRC_S,final_demand,2040-01-10 01:00:00,-1853748.455
DRC_S,final_demand,2040-01-10 02:00:00,-1820687.973
DRC_S,final_demand,2040-01-10 03:00:00,-1799434.806
DRC_S,final_demand,2040-01-10 04:00:00,-1830133.825
DRC_S,final_demand,2040-01-10 05:00:00,-1832495.288
DRC_S,final_demand,2040-01-10 06:00:00,-1754567.009
DRC_S,final_demand,2040-01-10 07:00:00,-1799434.806
DRC_S,final_demand,2040-01-10 08:00:00,-1799434.806
DRC_S,final_demand,2040-01-10 09:00:00,-1813603.584
DRC_S,final_demand,2040-01-10 10:00:00,-1825410.899
DRC_S,final_demand,2040-01-10 11:00:00,-1851386.992
DRC_S,final_demand,2040-01-10 12:00:00,-1896254.789
DRC_S,final_demand,2040-01-10 13:00:00,-1943484.049
DRC_S,final_demand,2040-01-10 14:00:00,-1990713.309
DRC_S,final_demand,2040-01-10 15:00:00,-2042665.495
DRC_S,final_demand,2040-01-10 16:00:00,-2023773.791
DRC_S,final_demand,2040-01-10 17:00:00,-2080448.903
DRC_S,final_demand,2040-01-10 18:00:00,-2311872.277
DRC_S,final_demand,2040-01-10 19:00:00,-2330763.981
DRC_S,final_demand,2040-01-10 20:00:00,-2290619.11
DRC_S,final_demand,2040-01-10 21:00:00,-2210329.368
DRC_S,final_demand,2040-01-10 22:00:00,-2094617.681
DRC_S,final_demand,2040-01-10 23:00:00,-1995436.235
DRC_S,final_demand,2040-01-11 00:00:00,-1697891.897
DRC_S,final_demand,2040-01-11 01:00:00,-1657747.026
DRC_S,final_demand,2040-01-11 02:00:00,-1619963.618
DRC_S,final_demand,2040-01-11 03:00:00,-1601071.914
DRC_S,final_demand,2040-01-11 04:00:00,-1657747.026
DRC_S,final_demand,2040-01-11 05:00:00,-1719145.064
DRC_S,final_demand,2040-01-11 06:00:00,-1662469.952
DRC_S,final_demand,2040-01-11 07:00:00,-1764012.861
DRC_S,final_demand,2040-01-11 08:00:00,-1875001.622
DRC_S,final_demand,2040-01-11 09:00:00,-1948206.975
DRC_S,final_demand,2040-01-11 10:00:00,-1988351.846
DRC_S,final_demand,2040-01-11 11:00:00,-2028496.717
