Zone_ID,Country,Cluster,Silhouette_s(i)
620,Libya,1,-0.14875651358349976
620,Libya,1,0.27594367154630295
1748,Libya,2,0.15386698969740234
1748,Libya,2,0.007929134630960928
2090,Libya,1,-0.12741147646605047
2090,Libya,1,0.31632675152536854
157,Libya,2,0.19678922089025666
157,Libya,2,0.0645639069155284
157,Libya,2,0.06375789218172312
1774,Libya,2,0.022323108494574764
1112,Libya,1,-0.11294346325747462
1112,Libya,1,0.3174576029248214
1113,Libya,1,-0.12357233756879975
1113,Libya,1,0.31587758065072685
1722,Libya,2,0.16523081549454777
1722,Libya,2,0.010402540014707804
825,Libya,1,0.3055446835778627
825,Libya,1,0.004361555315564359
696,Libya,1,-0.1452115622701682
696,Libya,1,0.3145095614171786
696,Libya,1,-0.20019586387265884
159,Libya,2,0.19695264021163178
159,Libya,2,0.06614880518948085
159,Libya,2,0.05335204849927204
159,Libya,2,0.14164259164091794
159,Libya,2,0.07734766623914549
1114,Libya,1,0.3193822407207351
1248,Libya,1,-0.10444172760707121
1248,Libya,1,0.28329368670894367
1862,Libya,2,0.15150699477639284
1862,Libya,2,0.13190120258960322
1862,Libya,2,0.08010423153614982
341,Libya,2,0.2010641080421869
341,Libya,2,0.12366511533341369
341,Libya,2,-0.030123590280494758
341,Libya,2,0.04563374443271043
2069,Libya,2,0.08378815229015961
642,Libya,1,-0.15552606481760384
642,Libya,1,0.2938150065817344
1222,Libya,1,0.29611732703751553
1238,Libya,1,-0.12876861133171372
1238,Libya,1,0.27758169446135306
1238,Libya,1,-0.053850486125449216
1189,Libya,1,-0.14263203810957512
1189,Libya,1,0.304475961801234
201,Libya,2,0.20064982387988026
201,Libya,2,0.11710387267527425
201,Libya,2,0.08931715251362173
201,Libya,2,0.1476125529776914
201,Libya,2,-0.0031367589445992477
201,Libya,2,0.021393158520913728
1164,Libya,1,0.3133253030397906
2053,Libya,1,-0.1354755623141912
2053,Libya,1,0.3166296666703939
1261,Libya,1,0.2592106126064844
1329,Libya,1,0.23628046505563738
137,Libya,2,0.19760505687812802
137,Libya,2,0.18942509710598313
137,Libya,2,0.042074683546902275
137,Libya,2,0.2009666168870847
1243,Libya,1,-0.09025608710462345
1243,Libya,1,0.2857634210878223
1165,Libya,1,-0.14153874243792025
1165,Libya,1,0.3151073196583832
1833,Libya,2,0.17462379698901695
1833,Libya,2,0.06645838180658932
136,Libya,2,0.19470935271402923
136,Libya,2,0.07544850132284027
136,Libya,2,0.04181734599216228
136,Libya,2,0.2019908349918417
1191,Libya,1,0.3017227289154652
1166,Libya,1,-0.14409688209960386
1166,Libya,1,0.31353894410026467
2092,Libya,2,0.08976141367556177
623,Libya,1,-0.17589960358805953
623,Libya,1,0.2864071896595209
1244,Libya,1,0.2914873772319967
1009,Libya,1,0.3123928009453711
830,Libya,1,-0.07531188799745883
830,Libya,1,0.3177190097910426
830,Libya,1,-0.0305814924807181
888,Libya,1,-0.16919007756899135
888,Libya,1,-0.1026633232385184
888,Libya,1,0.31533590552727087
1695,Libya,2,-0.012533750266910166
1193,Libya,1,-0.1309220361720629
1193,Libya,1,0.3062801480447974
919,Libya,1,-0.017667679595217835
919,Libya,1,0.3152784161631777
182,Libya,2,0.1969172930612527
182,Libya,2,0.058827255007139236
182,Libya,2,0.010295663360248612
182,Libya,2,0.08050496659810233
1713,Libya,2,0.16338464605529027
1713,Libya,2,-0.0367029467698589
1187,Libya,1,-0.12357677805243045
1187,Libya,1,0.2941786389555219
1778,Libya,2,0.1506218366104494
1778,Libya,2,0.04371323793618138
1006,Libya,1,0.3129371939954991
1749,Libya,2,0.017617735715508804
1308,Libya,1,0.24714371704746477
1262,Libya,1,0.26325370014697624
2077,Libya,1,0.3143188848119017
1218,Libya,1,0.2956961266508425
1137,Libya,1,0.31849770303901015
694,Libya,1,-0.14593116072411508
694,Libya,1,0.31927319134892046
1138,Libya,1,0.317294190056781
613,Libya,1,-0.179121735372971
613,Libya,1,-0.09035462747520358
613,Libya,1,0.2819658240282421
613,Libya,1,-0.19993326394150576
978,Libya,1,0.30571917330955795
1696,Libya,2,-0.005930332907711267
1087,Libya,1,0.3189876804846336
1087,Libya,1,-0.042895498084984336
1162,Libya,1,0.30942422406903497
857,Libya,1,-0.09681843703578015
857,Libya,1,0.3122602687999986
252,Libya,2,0.206485782920413
252,Libya,2,0.09566237158463722
252,Libya,2,0.0849635256668407
1064,Libya,1,0.3204808012792086
1034,Libya,1,0.3134262923169265
1260,Libya,1,-0.142146042976845
1260,Libya,1,-0.11112688051285437
1260,Libya,1,0.24896666756458738
1260,Libya,1,-0.03773718233450805
608,Libya,1,-0.16601928017131307
608,Libya,1,-0.12955298658764833
608,Libya,1,0.2586071404132077
1742,Libya,2,0.10675383991741035
1742,Libya,2,-0.019190107555966132
827,Libya,1,-0.10494817642322847
827,Libya,1,0.31584234250711696
1714,Libya,2,0.1655083679402467
1714,Libya,2,-0.03115899476434615
858,Libya,1,-0.10594204824974585
858,Libya,1,0.3164602357427463
768,Libya,1,0.3041172936888627
768,Libya,1,-0.022820252257052847
1269,Libya,1,0.2843338889869739
2082,Libya,1,0.3189326343916064
1217,Libya,1,0.2982501459277137
1217,Libya,1,-0.07646313346559508
280,Libya,2,0.16886196616321017
280,Libya,2,0.13880707416844165
280,Libya,2,0.1163924763496289
280,Libya,2,0.10466687608468649
280,Libya,2,-0.009854278269319837
280,Libya,2,0.07148203470272689
799,Libya,1,-0.14948264107007425
799,Libya,1,0.3147860590896569
